entity_head	relation	entity_tail
m.010b4zs	0	m.01tjdb
m.010d2vpl	0	m.0416b7f
m.010t5vqp	0	m.011_vg
m.011sxjd	1	m.02wwqm2
m.011sxjd	0	m.013w8y
m.011sxjd	1	m.049gyr9
m.012qg3n	0	m.01lqnd0
m.012vz4p	1	m.0f6fkct
m.012vz4p	1	m.049f2gz
m.012vz4p	0	m.03lh5b
m.012vz4p	2	m.01wtpxy
m.012vz4p	2	m.03_tt8
m.012vz4p	1	m.01wtpxy
m.018qdv_	0	m.0cjql0
m.0192ks6	0	m.03ft7c
m.01b070b	0	m.07n8pl
m.01d7kmx	2	m.01vs73g
m.01d7kmx	0	m.01mpq7s
m.01d7kmx	0	m.01vw20h
m.01d8mny	0	m.0dl7pg
m.023k_c_	0	m.03d_plm
m.0_82_b	0	m.04jcm4
m.0d__r4w	0	m.01wsfk
m.0dp5xsp	0	m.03j3m4_
m.0dpnhnq	0	m.09lwrt
m.0dpvg1s	0	m.03l_rk
m.0dqmhvr	0	m.03f3tr1
m.0dsfztn	0	m.06yf0n
m.0dtfrt2	0	m.02fbrc
m.0dtwvgw	0	m.06wcs2
m.0dvfr4w	1	m.01wp88w
m.0dvfr4w	2	m.01n_v5
m.0dvfr4w	0	m.01qczr
m.0dvfr4w	1	m.0wh7znd
m.0dvfr4w	1	m.012gpwk1
m.0dz9dms	0	m.09n79j
m.0f02v6h	0	m.05q_9w
m.0f02v6h	2	m.01vng3b
m.0f02v6h	1	m.09prnq
m.0f4yqnw	0	m.01crj8
m.0f4yqnw	2	m.01crj8
m.0f4yqnw	1	m.0g68b8r
m.0f4yqnw	1	m.0nhdwjv
m.0f4yqnw	1	m.0frz_k8
m.0f517g6	0	m.01rym7j
m.0f_fm45	0	m.080hxrz
m.0fgbq61	0	m.01qbkr4
m.0frfgx5	0	m.0g824
m.0g7bp57	0	m.0dymm5v
m.0g7bp57	2	m.0dymm5v
m.0gdx7pc	0	m.05f9qdc
m.0gdx7pc	2	m.01vtxkw
m.0l1fv0	2	m.017m7n
m.0l1fv0	0	m.017m7n
m.0l1n6p	2	m.02pm2j0
m.0l1n6p	2	m.01w4yj2
m.0l1n6p	0	m.01w4yj2
m.0l1qq9	2	m.04ftmc
m.0l1qq9	1	m.01whtn0
m.0l1qq9	0	m.017_hq
m.0lfwph	0	m.017yfz
m.0lfwph	2	m.067y_n
m.0lhhktp	0	m.014qxc
m.0lms8w	0	m.09jvl
m.0lxvy6	1	m.03f5r2f
m.0lxvy6	0	m.0p76z
m.0lxvy6	2	m.01glhw
m.0lxvy6	2	m.0979y1
m.0m24p2	2	m.01jckl
m.0m24p2	0	m.0ntq7
m.0m24p2	2	m.0ntq7
m.0m6m8w	0	m.05jwmc
m.0mc55s	2	m.012z8_
m.0mc55s	0	m.012z8_
m.0n2g7m	0	m.016qsn
m.0n9tz3	0	m.02l9tm
m.0nd3rz	0	m.01f2q5
m.0nl4mt0	0	m.01w5n51
m.0nl6g1j	0	m.0p4_x
m.0nlcyvp	0	m.03f3tqk
m.0nq0x0	0	m.0370rx
m.0nr_7p	0	m.039cjb
m.0nr_7x	0	m.039cjb
m.0p61l0	0	m.0cfgd
m.0pw3bf	0	m.02pyz3
m.0pw3bf	2	m.096mrk
m.0pw3bf	1	m.03j3023
m.0pw3bf	2	m.01dgtg
m.0qbgz_7	0	m.02x5_p1
m.0qclzw	0	m.01jywzp
m.0qfd_5	0	m.05b2kp
m.0qjs0wl	0	m.080p59l
m.0rq2qn	0	m.01wsfk
m.0rq2qn	2	m.01wsfk
m.0shs26w	0	m.07bxfr
m.0shx52	0	m.03b588
m.0sj1zj2	0	m.03vryn
m.0slbp49	0	m.0cc6wk_
m.0sm82cc	0	m.03f5tvj
m.0sm82cc	2	m.0dss_td
m.0sm82cc	2	m.0bwhgv8
m.0tntvv	0	m.01w658
m.0vrvx5	0	m.03r562
m.0w009hj	0	m.0glp2r_
m.0wjytf6	0	m.0kbsn
m.0x6sr1b	0	m.05njz_
m.0xv9j9	0	m.02z9tb
m.0y1jd8	0	m.0383y9
m.0y8r1s	0	m.0163j_
m.0ysrzs	0	m.03kthy
m.0zhbr6h	2	m.0n596bw
m.0zhbr6h	2	m.01w9wwg
m.0zhbr6h	2	m.0zgd5st
m.0zhbr6h	2	m.0840vq
m.0zhbr6h	0	m.015f7
m.011pm82	0	m.01q_dv8
m.014lbt6	0	m.047qvh
m.01974z0	0	m.013ps1
m.019bwpn	2	m.01vrpmx
m.019bwpn	0	m.0120rz
m.01dmskd	0	m.06zz6lf
m.01dmskd	0	m.03j3hsq
m.01f7chk	0	m.0134s5
m.0_sywn	0	m.01jwwz9
m.0_zp6bn	0	m.02v_c26
m.0dmqmgm	0	m.0420cq
m.0dr0xcz	2	m.0gb_p_
m.0dr0xcz	1	m.03j02pr
m.0dr0xcz	0	m.0gb_p_
m.0dt9y02	0	m.03hmh_
m.0dt9y02	2	m.03f661g
m.0dw87w_	0	m.02r0653
m.0dx_cjw	0	m.01pk0ch
m.0dy_yrp	0	m.03h_0fc
m.0f0nv9b	0	m.0416c5
m.0fqzfkv	0	m.01vwcx
m.0frk_96	2	m.0nhrvrk
m.0frk_96	2	m.03j02pr
m.0frk_96	0	m.0gb_p_
m.0frk_96	2	m.0nhvpcp
m.0ft1dwx	1	m.0134zb7r
m.0ft1dwx	1	m.049gv2y
m.0ft1dwx	0	m.05kmdt3
m.0jxwspj	2	m.0521sw
m.0jxwspj	1	m.049f_84
m.0jxwspj	1	m.0521sw
m.0jxwspj	0	m.0mgcr
m.0lbh5k	1	m.0116nbbd
m.0lbh5k	1	m.01w0ds3
m.0lbh5k	2	m.02qwjn7
m.0lbh5k	0	m.026vp
m.0lbh5k	1	m.01wj6ls
m.0lbh5k	2	m.026vp
m.0lcn_x	2	m.01wpj1g
m.0lcn_x	0	m.01dpk0
m.0lcn_x	2	m.01dpk0
m.0lcn_x	1	m.01wpj1g
m.0lq9lv	0	m.05xq9
m.0lqk94	1	m.03hpsf
m.0lqk94	0	m.03hpsf
m.0lss0w	0	m.01l3bjd
m.0lw5t9	0	m.07mvp
m.0lyqb9	0	m.01qxm2
m.0m70xv	1	m.01wv3jv
m.0m70xv	0	m.016f3x
m.0m8s7r	0	m.03q_w5
m.0mng81	0	m.01t_xp_
m.0mnzx5	0	m.03jc3j
m.0msl65	1	m.01wtyz8
m.0msl65	2	m.05s1vn
m.0msl65	2	m.01x1lf
m.0msl65	0	m.01403_
m.0msl65	1	m.01w_dqq
m.0nmb50l	0	m.09gmp35
m.0nmjll	0	m.0137g1
m.0nmvqqh	0	m.012vh_
m.0nng4kt	0	m.0f13ny1
m.0nnshcg	0	m.049fr5h
m.0pgf9l	1	m.03f65fy
m.0pgf9l	0	m.02ftsl
m.0pgg7_	0	m.02cl_7
m.0pql5n	1	m.0dqxkk7
m.0pql5n	0	m.02t5q9
m.0pql5n	2	m.01nbfs8
m.0pql5n	2	m.0dqxkk7
m.0q5n76w	0	m.0dvqq
m.0qd9y4g	1	m.03yz3ft
m.0qd9y4g	2	m.03yz3ft
m.0qd9y4g	0	m.0cm93z6
m.0qd9y4g	2	m.0w3bg6j
m.0rf2j03	0	m.02l840
m.0rf46nq	0	m.04lsrs
m.0rf46nq	1	m.0nhw3cm
m.0rf46nq	2	m.08ww0z
m.0rf520r	0	m.0276kql
m.0rjhtwq	0	m.04cxhr_
m.0rk84m	2	m.020srm
m.0rk84m	0	m.01_dvf
m.0sj2dxw	0	m.0d945
m.0t72d9	0	m.017j6
m.0tn0gnn	0	m.01t07t8
m.0tw7z8	0	m.02l840
m.0vy608q	0	m.01v04zz
m.0vy608q	2	m.049dr37
m.0vz8lw	0	m.01qz2j
m.0wd3rjj	0	m.01q32bd
m.0wj1t2d	0	m.03gs70t
m.0xsv6s	0	m.016p3r
m.0xsv6s	2	m.0dndw05
m.0xsv6s	2	m.016p3r
m.0y885_	0	m.01r4db
m.0y885_	2	m.082brv
m.0yzkyb	0	m.02fwg3
m.0z92dn	2	m.0ql36
m.0z92dn	0	m.06mj4
m.0zvpjt	0	m.03bcmp
m.0zvpjt	2	m.01wbr3g
m.0zvpjt	2	m.01v0g5s
m.011xv4v9	0	m.01wqpnm
m.012_yvn	0	m.01bg09
m.0130l11	0	m.016d2p
m.013sx2b	0	m.0416c5
m.014_6bx	0	m.02l840
m.017wfn9	0	m.02vs9b
m.019x_vj	0	m.01msbhg
m.01dbkws	0	m.0234cc
m.0d_rc4w	0	m.01s9c8_
m.0dp58jn	0	m.0dph5z
m.0dqv5h7	1	m.01w2rn0
m.0dqv5h7	2	m.01w2rn0
m.0dqv5h7	0	m.01vsxdm
m.0dqv5h7	2	m.03h502k
m.0dsgvwn	0	m.01wl_8b
m.0dtx6bc	0	m.032pmw
m.0dxc698	0	m.01q272l
m.0dz09p4	0	m.01r8gqg
m.0f2d5m9	0	m.04cbp71
m.0frf92v	0	m.07h76
m.0fs0qhw	0	m.04zmjm
m.0fsrzdt	0	m.0bh8_wr
m.0ftmgd1	0	m.0285hlr
m.0fxq2vy	0	m.04qmr
m.0fy2ktm	0	m.0326tc
m.0jxxgmh	0	m.047q095
m.0ldgmx	0	m.01drc4
m.0ldnv9	0	m.011_vg
m.0lh6j3	0	m.07mvp
m.0ly43n	0	m.01s0rkh
m.0lymlc	2	m.01hn8h
m.0lymlc	0	m.01hn8h
m.0lzz6q	2	m.04g306
m.0lzz6q	0	m.0f0y8
m.0mpcnt	0	m.032789
m.0mql0f	0	m.01vs4f3
m.0nch1c	0	m.01_wfj
m.0nh4qq	1	m.0q94_2m
m.0nh4qq	2	m.09183j
m.0nh4qq	0	m.06mj4
m.0nl4wn4	0	m.01w62hf
m.0nlm6yd	0	m.0j42l4h
m.0nlsytp	0	m.03chmw
m.0nlt2xh	0	m.03f3cld
m.0nlt2xh	1	m.03f5rhc
m.0nm1zh3	0	m.05236vx
m.0nn491p	0	m.02t7c2
m.0nn8jzb	0	m.05841
m.0nn8rbm	0	m.01vzxk7
m.0nn91hj	0	m.026w920
m.0nns45m	0	m.03j24kf
m.0nwklr	0	m.01jh0v
m.0p31tb	0	m.032pmw
m.0phrfr	0	m.011_vz
m.0qtsk1	0	m.01rgvm
m.0rf4gd9	0	m.055kfg
m.0rjz23d	0	m.0gtwg_k
m.0rqtdm0	0	m.0nhz2jj
m.0rz3b1	0	m.017m7n
m.0sdvln	2	m.03f3hn4
m.0sdvln	2	m.03x78s
m.0sdvln	0	m.06lxn
m.0sdvln	1	m.02py1w3
m.0sdvln	1	m.0zj3b_k
m.0shxywk	0	m.01shqcj
m.0tbjzk	0	m.02cpp
m.0tbjzk	2	m.01n5ysc
m.0tbjzk	2	m.02cpp
m.0tbjzk	1	m.03plw5
m.0tng7hk	0	m.0cp706
m.0tswpg	0	m.01vsxdm
m.0tswpg	0	m.03h502k
m.0v884f	0	m.03fbq_
m.0vfm2k	0	m.05jy74
m.0vfm3n	0	m.05jy74
m.0wv18k	0	m.01f5z8
m.0wy_9l	0	m.05841
m.0x62_82	0	m.0frdx16
m.0yc__1r	0	m.01t02w9
m.0103vnn	0	m.0875sv
m.012hpl2	0	m.0jvy1
m.012ljhx	0	m.01vbd5
m.0146gzc	0	m.0mmhn
m.015c841	0	m.0f80h
m.0187ytt	2	m.01w00wq
m.0187ytt	1	m.01vt3fn
m.0187ytt	0	m.03ks26
m.01c5tws	0	m.01slpb0
m.0_7719	2	m.045fr6
m.0_7719	0	m.06xsy
m.0_7719	1	m.07zw5r
m.0dmbhtv	2	m.01wgzg4
m.0dmbhtv	2	m.0d4lp4
m.0dmbhtv	0	m.01qdty_
m.0dmhy72	0	m.014_lq
m.0dmhy72	2	m.01vng3b
m.0dmhy72	2	m.06340r
m.0dmsqst	0	m.016m5c
m.0dnh50s	0	m.053xjm
m.0dnwws6	0	m.0knhk
m.0dp3n_g	0	m.01lrt4w
m.0dpnf8w	0	m.0167_s
m.0dr58gz	0	m.0770y7
m.0drfl7y	0	m.02zmm4
m.0dszbbn	1	m.01x0khz
m.0dszbbn	1	m.0sh32rk
m.0dszbbn	0	m.02kg4m
m.0dszbbn	2	m.02kgct
m.0dtmg21	0	m.02p_q80
m.0dts8yl	0	m.0dmc57g
m.0f0_qly	0	m.0271cct
m.0f198ly	0	m.0875sv
m.0f2bskc	0	m.03gdzw
m.0f65q9_	0	m.0khth
m.0f983t6	0	m.01v_pj6
m.0fftmmk	0	m.03tsgj
m.0fg9mc6	0	m.0875sv
m.0fsr3g1	0	m.086v9k
m.0fsvfq4	0	m.02ftsl
m.0ftfrjc	0	m.05kmdt3
m.0ftg4jx	0	m.03nvk3d
m.0fw1nnx	0	m.08124n
m.0fwn_hy	2	m.03j26ty
m.0fwn_hy	2	m.03f0519
m.0fwn_hy	0	m.03c3h4s
m.0fwn_hy	2	m.04cwh9t
m.0fxplc8	0	m.01s3b_s
m.0l1mv6	1	m.01x1cst
m.0l1mv6	0	m.0jn38
m.0l1qsy	2	m.05379v
m.0l1qsy	1	m.01wwckh
m.0l1qsy	0	m.017_hq
m.0l1qsy	1	m.01wwcky
m.0l1qsy	2	m.016fhp
m.0lf7mk	0	m.01ryjcc
m.0ll767	0	m.01cvkk
m.0lmf3n	0	m.015j4v
m.0lqt3d	0	m.017959
m.0lxwbs	2	m.01vx3j2
m.0lxwbs	0	m.017m5b
m.0mc613	2	m.05ckvd
m.0mc613	0	m.01v0sxx
m.0mc613	1	m.049h1x0
m.0mj6h_	0	m.01k9syy
m.0msss5	2	m.07gb6p
m.0msss5	0	m.01rqjl
m.0msss5	2	m.01vxdpv
m.0mwl8h	0	m.02qgj5
m.0ngybp	1	m.02pw61
m.0ngybp	0	m.0dtn7
m.0ngybp	2	m.0dtn7
m.0nldj77	0	m.07s7mkl
m.0nlfkp6	0	m.01wtdkg
m.0nlqnjy	0	m.07sbk
m.0nm839c	0	m.05kn9k
m.0nn2pjy	0	m.078mlc
m.0nnzkrb	0	m.04yfm2
m.0q87g1f	2	m.03f5p7f
m.0q87g1f	1	m.0bhb4md
m.0q87g1f	2	m.0vy43br
m.0q87g1f	1	m.0vy43br
m.0q87g1f	1	m.03f5p7f
m.0q87g1f	1	m.02qw9c4
m.0q87g1f	2	m.02qw9c4
m.0q87g1f	2	m.0k_r76
m.0q87g1f	0	m.01mkq0x
m.0q9glx1	0	m.06w44cv
m.0qyg_3	0	m.01dwtd
m.0r7t2s	0	m.01hykl_
m.0rh2bws	0	m.0psss
m.0rh2bws	2	m.0137g1
m.0sk5_z5	0	m.07bxfr
m.0sn1nxm	0	m.036z_k
m.0sn1nxm	2	m.03qp2ml
m.0v38p_p	0	m.01h113
m.0v53my	0	m.07mdmg
m.0vyy559	2	m.03j04hc
m.0vyy559	0	m.0ngt4dg
m.0wdvh_	0	m.07r1_
m.0wj5m87	0	m.03gs70t
m.0y8wgp8	0	m.0c01jn2
m.0y9bprr	0	m.01vt5c_
m.0ysrz_	0	m.03kthy
m.0yt92v8	2	m.0c6slb
m.0yt92v8	2	m.01wrwq9
m.0yt92v8	0	m.0c6slb
m.0z50xf	0	m.03f4xvm
m.0zqqm1	2	m.03f3rfy
m.0zqqm1	0	m.015f7
m.0zs9b8p	0	m.076zbfp
m.0105z8j	0	m.011hqk
m.011gp0r	0	m.01yl31
m.011h5hh	1	m.03f5gnx
m.011h5hh	2	m.0bk1p
m.011h5hh	2	m.071b96
m.011h5hh	0	m.0bk1p
m.013vrtn	0	m.0125l2
m.013vrtn	2	m.0125l2
m.016v56n	0	m.0370w8
m.018khx2	0	m.03tp23
m.0197rp4	0	m.016lj_
m.0198m60	0	m.01lhmt1
m.019vzm6	0	m.015_8p
m.01cb_gz	0	m.0187x8
m.01cnvhs	0	m.01vsy3q
m.0__q9wl	0	m.0cp706
m.0__ystm	0	m.0h65z9l
m.0dn23pm	0	m.01q8h5y
m.0dnx3gk	0	m.04t7pk
m.0dss3k5	0	m.03wd_kk
m.0dt2gfj	0	m.0285kk5
m.0dv3njd	2	m.0187x8
m.0dv3njd	1	m.01v_hy5
m.0dv3njd	0	m.0187x8
m.0dvxkfl	2	m.0g2r67
m.0dvxkfl	0	m.09qltd
m.0dys_gm	0	m.03g5jw
m.0f4bf3g	0	m.0233hp
m.0f7s8sx	0	m.01h6g8
m.0f81_8m	0	m.02zmm4
m.0f8vghm	0	m.03hzpml
m.0f_1wqd	0	m.0127s7
m.0fv5vp8	0	m.0326tc
m.0fxw7y2	0	m.027hnc9
m.0g7vhpy	0	m.05x_kr
m.0g8w715	0	m.0hr1nbp
m.0gdxdgt	0	m.03xn99q
m.0gdz3x0	0	m.03x3mw
